                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.0327,                 0.7889,                  1.287,                0.92896,                0.85359,                0.91083,                0.48498,                 1.5914,                0.73383,                 1.9805,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.0236,                  0.761,                 1.2751,                0.76331,                0.86013,                0.90629,                0.52306,                 1.5899,                0.71372,                 1.9002,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.0473,                0.76898,                 1.3056,                0.94457,                0.85651,                0.88918,                0.50947,                 1.5896,                0.74976,                 1.9162,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.0326,                0.76494,                 1.2798,                0.93088,                0.86013,                0.86194,                 0.4241,                 1.5842,                0.76502,                 1.9223,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.0305,                0.64915,                 1.3256,                0.81388,                0.82011,                0.82495,                0.46747,                   1.66,                0.82161,                 1.9731,             0.00016991,             0.00016991,             0.00016991
                     92,                0.96403,                0.60015,                 1.2845,                0.91801,                0.84542,                0.91048,                0.49657,                  1.616,                 0.6973,                 1.9813,             0.00015576,             0.00015576,             0.00015576
                     93,                0.96352,                0.56796,                 1.2696,                0.91628,                0.82821,                0.87406,                0.49365,                 1.6693,                0.74197,                 2.0492,             0.00014161,             0.00014161,             0.00014161
                     94,                0.93863,                 0.5662,                 1.2593,                0.93896,                0.83588,                0.89733,                0.52178,                 1.5735,                0.72895,                 1.9632,             0.00012747,             0.00012747,             0.00012747
                     95,                0.92096,                0.54614,                  1.241,                0.94269,                0.84706,                0.92233,                0.49325,                 1.6204,                0.72466,                 2.0162,             0.00011332,             0.00011332,             0.00011332
                     96,                0.92218,                0.53302,                 1.2465,                0.93034,                0.83399,                0.91526,                0.48443,                 1.6726,                0.73919,                 2.0641,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.89004,                0.53252,                 1.2293,                0.91824,                0.84052,                0.95425,                0.55741,                 1.6479,                0.71556,                 2.0607,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.87842,                0.52178,                 1.2158,                0.89121,                0.84478,                0.93296,                0.50582,                  1.764,                0.71243,                 2.1644,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.86693,                 0.5184,                 1.2045,                0.88685,                0.83568,                0.93172,                0.51176,                 1.7029,                0.73087,                 2.1151,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 0.8609,                 0.4979,                  1.204,                0.88854,                0.84706,                0.94123,                0.51735,                 1.7623,                0.72069,                 2.1941,             4.2584e-05,             4.2584e-05,             4.2584e-05
